status,unroll,est_max_lat,resource2,est_ff,bench,bank2,resource1,bank1,est_min_lat,est_dsp,est_lut,est_avg_lat,est_bram
ok,15,8774,RAM_T2P_BRAM,7125,test:dot-product-4-4-10-1-1,5,RAM_T2P_BRAM,5,8774,75,4278,8774,24
ok,12,10272,RAM_T2P_BRAM,5803,test:dot-product-0-1-9-1-1,2,RAM_T2P_BRAM,1,10272,48,3645,10272,20
ok,16,12048,RAM_T2P_BRAM,6909,test:dot-product-0-3-11-1-1,4,RAM_T2P_BRAM,1,12048,64,4041,12048,20
ok,10,9455,RAM_T2P_BRAM,5436,test:dot-product-1-4-8-1-1,5,RAM_T2P_BRAM,2,9455,50,3685,9455,22
ok,10,10274,RAM_T2P_BRAM,5197,test:dot-product-4-0-8-1-1,1,RAM_T2P_BRAM,5,10274,50,3624,10274,22
ok,12,10272,RAM_T2P_BRAM,5845,test:dot-product-3-0-9-1-1,1,RAM_T2P_BRAM,4,10272,48,3705,10272,20
ok,12,10275,RAM_T2P_BRAM,6058,test:dot-product-5-0-9-1-1,1,RAM_T2P_BRAM,6,10275,60,3939,10275,24
ok,16,12048,RAM_T2P_BRAM,6960,test:dot-product-3-0-11-1-1,1,RAM_T2P_BRAM,4,12048,64,4077,12048,20
ok,10,9455,RAM_T2P_BRAM,5436,test:dot-product-4-1-8-1-1,2,RAM_T2P_BRAM,5,9455,50,3685,9455,22
ok,12,9251,RAM_T2P_BRAM,6167,test:dot-product-5-1-9-1-1,2,RAM_T2P_BRAM,6,9251,60,3953,9251,24
ok,12,10272,RAM_T2P_BRAM,5774,test:dot-product-0-0-9-1-1,1,RAM_T2P_BRAM,1,10272,48,3666,10272,20
ok,16,12044,RAM_T2P_BRAM,7047,test:dot-product-7-7-11-1-1,8,RAM_T2P_BRAM,8,12044,64,3921,12044,36
ok,12,8909,RAM_T2P_BRAM,6167,test:dot-product-3-2-9-1-1,3,RAM_T2P_BRAM,4,8909,60,4008,8909,24
ok,12,10272,RAM_T2P_BRAM,5794,test:dot-product-0-3-9-1-1,4,RAM_T2P_BRAM,1,10272,48,3669,10272,20
ok,16,12044,RAM_T2P_BRAM,7105,test:dot-product-3-3-11-1-1,4,RAM_T2P_BRAM,4,12044,64,3990,12044,20
ok,12,8909,RAM_T2P_BRAM,6160,test:dot-product-2-5-9-1-1,6,RAM_T2P_BRAM,3,8909,60,4131,8909,28
ok,16,12044,RAM_T2P_BRAM,7053,test:dot-product-1-1-11-1-1,2,RAM_T2P_BRAM,2,12044,64,3957,12044,20
ok,16,12048,RAM_T2P_BRAM,7075,test:dot-product-0-0-11-1-1,1,RAM_T2P_BRAM,1,12048,64,4035,12048,20
ok,15,10411,RAM_T2P_BRAM,6822,test:dot-product-2-0-10-1-1,1,RAM_T2P_BRAM,3,10411,75,4241,10411,24
ok,10,10271,RAM_T2P_BRAM,4977,test:dot-product-0-0-8-1-1,1,RAM_T2P_BRAM,1,10271,40,3426,10271,20
ok,16,12044,RAM_T2P_BRAM,7025,test:dot-product-7-3-11-1-1,4,RAM_T2P_BRAM,8,12044,64,4010,12044,28
ok,16,12048,RAM_T2P_BRAM,6808,test:dot-product-0-7-11-1-1,8,RAM_T2P_BRAM,1,12048,64,4017,12048,28
ok,12,8909,RAM_T2P_BRAM,6180,test:dot-product-3-5-9-1-1,6,RAM_T2P_BRAM,4,8909,60,4026,8909,24
ok,12,8909,RAM_T2P_BRAM,6180,test:dot-product-5-3-9-1-1,4,RAM_T2P_BRAM,6,8909,60,4026,8909,24
ok,12,9251,RAM_T2P_BRAM,6154,test:dot-product-1-2-9-1-1,3,RAM_T2P_BRAM,2,9251,60,3941,9251,24
ok,12,10275,RAM_T2P_BRAM,6045,test:dot-product-0-2-9-1-1,3,RAM_T2P_BRAM,1,10275,60,3912,10275,24
ok,15,10411,RAM_T2P_BRAM,6950,test:dot-product-0-4-10-1-1,5,RAM_T2P_BRAM,1,10411,75,4262,10411,22
ok,12,10272,RAM_T2P_BRAM,5854,test:dot-product-1-0-9-1-1,1,RAM_T2P_BRAM,2,10272,48,3681,10272,20
ok,12,8909,RAM_T2P_BRAM,5947,test:dot-product-2-2-9-1-1,3,RAM_T2P_BRAM,3,8909,60,3934,8909,28
ok,10,8637,RAM_T2P_BRAM,5327,test:dot-product-4-4-8-1-1,5,RAM_T2P_BRAM,5,8637,50,3614,8637,24
ok,12,9248,RAM_T2P_BRAM,5763,test:dot-product-1-3-9-1-1,4,RAM_T2P_BRAM,2,9248,48,3681,9248,20
ok,15,10408,RAM_T2P_BRAM,5042,test:dot-product-0-0-10-1-1,1,RAM_T2P_BRAM,1,10408,40,3814,10408,20
ok,16,12044,RAM_T2P_BRAM,6950,test:dot-product-3-7-11-1-1,8,RAM_T2P_BRAM,4,12044,64,3978,12044,28
ok,12,8909,RAM_T2P_BRAM,6167,test:dot-product-2-3-9-1-1,4,RAM_T2P_BRAM,3,8909,60,4008,8909,24
ok,10,9452,RAM_T2P_BRAM,5060,test:dot-product-1-1-8-1-1,2,RAM_T2P_BRAM,2,9452,40,3443,9452,20
ok,12,8906,RAM_T2P_BRAM,5796,test:dot-product-3-3-9-1-1,4,RAM_T2P_BRAM,4,8906,48,3754,8906,20
ok,12,10275,RAM_T2P_BRAM,6058,test:dot-product-2-0-9-1-1,1,RAM_T2P_BRAM,3,10275,60,3912,10275,24
ok,10,10271,RAM_T2P_BRAM,5061,test:dot-product-1-0-8-1-1,1,RAM_T2P_BRAM,2,10271,40,3437,10271,20
ok,12,8569,RAM_T2P_BRAM,6024,test:dot-product-5-5-9-1-1,6,RAM_T2P_BRAM,6,8569,60,3879,8569,28
ok,12,9248,RAM_T2P_BRAM,5770,test:dot-product-1-1-9-1-1,2,RAM_T2P_BRAM,2,9248,48,3689,9248,20
ok,16,12044,RAM_T2P_BRAM,7081,test:dot-product-7-1-11-1-1,2,RAM_T2P_BRAM,8,12044,64,4009,12044,28
ok,15,9046,RAM_T2P_BRAM,6962,test:dot-product-2-2-10-1-1,3,RAM_T2P_BRAM,3,9046,75,4288,9046,28
ok,15,9046,RAM_T2P_BRAM,7175,test:dot-product-4-2-10-1-1,3,RAM_T2P_BRAM,5,9046,90,4482,9046,26
ok,16,12048,RAM_T2P_BRAM,6987,test:dot-product-0-1-11-1-1,2,RAM_T2P_BRAM,1,12048,64,4017,12048,20
ok,15,9046,RAM_T2P_BRAM,7175,test:dot-product-2-4-10-1-1,5,RAM_T2P_BRAM,3,9046,90,4482,9046,26
ok,16,12044,RAM_T2P_BRAM,7015,test:dot-product-1-3-11-1-1,4,RAM_T2P_BRAM,2,12044,64,4027,12044,20
ok,16,12048,RAM_T2P_BRAM,7038,test:dot-product-1-0-11-1-1,1,RAM_T2P_BRAM,2,12048,64,4053,12048,20
ok,12,9248,RAM_T2P_BRAM,5763,test:dot-product-3-1-9-1-1,2,RAM_T2P_BRAM,4,9248,48,3681,9248,20
ok,12,8909,RAM_T2P_BRAM,6160,test:dot-product-5-2-9-1-1,3,RAM_T2P_BRAM,6,8909,60,4131,8909,28
ok,16,12044,RAM_T2P_BRAM,7015,test:dot-product-3-1-11-1-1,2,RAM_T2P_BRAM,4,12044,64,4027,12044,20
ok,16,12048,RAM_T2P_BRAM,6937,test:dot-product-7-0-11-1-1,1,RAM_T2P_BRAM,8,12048,64,4085,12048,28
ok,10,10274,RAM_T2P_BRAM,5197,test:dot-product-0-4-8-1-1,5,RAM_T2P_BRAM,1,10274,50,3624,10274,22
ok,10,10271,RAM_T2P_BRAM,5010,test:dot-product-0-1-8-1-1,2,RAM_T2P_BRAM,1,10271,40,3401,10271,20
ok,15,10411,RAM_T2P_BRAM,6809,test:dot-product-0-2-10-1-1,3,RAM_T2P_BRAM,1,10411,75,4241,10411,24
ok,12,9251,RAM_T2P_BRAM,6154,test:dot-product-2-1-9-1-1,2,RAM_T2P_BRAM,3,9251,60,3941,9251,24
ok,16,12044,RAM_T2P_BRAM,7006,test:dot-product-1-7-11-1-1,8,RAM_T2P_BRAM,2,12044,64,3977,12044,28
ok,12,9251,RAM_T2P_BRAM,6167,test:dot-product-1-5-9-1-1,6,RAM_T2P_BRAM,2,9251,60,3953,9251,24
ok,15,10411,RAM_T2P_BRAM,6950,test:dot-product-4-0-10-1-1,1,RAM_T2P_BRAM,5,10411,75,4262,10411,22
ok,12,10275,RAM_T2P_BRAM,6058,test:dot-product-0-5-9-1-1,6,RAM_T2P_BRAM,1,10275,60,3939,10275,24
